SensorName,Date-Time(Wave),Name(Wave),Speed(Wave),Launch(Wave),Dir(Wave),BS(Wave),SS(Wave),TS(Wave),SA(Wave),Carry(Wave),Total(Wave),HeadSpeed(Wave),AA(Wave),CP(Wave),SP(Wave),SD(Wave),ML1_SP(Wave),ML1_LA(Wave),ML1_DA(Wave),ML1_BS(Wave),ML1_SS(Wave),ML1_SR(Wave),ML1_SA(Wave),RCT_MEA(Wave),RCT_MEA_AI(Wave),,SensorName,Date-Time(GCQ),ForesightSports:PLAYER1-2025-01-14¿ÀÀü10:4Club(GCQ),Ball(GCQ),BallSpeed(GCQ),LaunchAngle(GCQ),SideAngle(GCQ),Backspin(GCQ),Sidespin(GCQ),TiltAngle(GCQ),TotalSpin(GCQ),Carry(GCQ),Total(GCQ),Offline(GCQ),DescentAngle(GCQ),PeakHeight(GCQ),ClubSpeed(GCQ),Efficiency(GCQ),AngleofAttack(GCQ),ClubPath(GCQ),FacetoPath(GCQ),Lie(GCQ),Loft(GCQ),ClosureRate(GCQ),FaceImpactLateral(GCQ),FaceImpactVertical(GCQ),,SensorName,Date-Time(TM4),Date(TM4),TMDNo(TM4),TMDFilename(TM4),Player(TM4),Club(TM4),Ball(TM4),ClubSpeed(TM4),AttackAngle(TM4),ClubPath(TM4),LowPoint(TM4),SwingPlane(TM4),SwingDirection(TM4),Dyn.Loft(TM4),FaceAngle(TM4),FaceToPath(TM4),BallSpeed(TM4),SmashFactor(TM4),LaunchAngle(TM4),LaunchDirection(TM4),SpinRate(TM4),SpinRateType(TM4),SpinAxis(TM4),MaxHeight-Dist.(TM4),MaxHeight-Height(TM4),MaxHeight-Side(TM4),LastdataPoint-Length(TM4),LastdataPoint-Side(TM4),LastdataPoint-Height(TM4),LastdataPoint-Time(TM4),CarryFlat-Length(TM4),CarryFlat-Side(TM4),CarryFlat-Land.Angle(TM4),CarryFlat-BallSpeed(TM4),CarryFlat-Time(TM4),Est.TotalFlat-Length(TM4),Est.TotalFlat-Side(TM4),DynamicLie(TM4),ImpactOffset(TM4),ImpactHeight(TM4),Curve(TM4),SpinAxis(Sim)(TM4),Curve(Sim)(TM4),Carry(Sim)(TM4),Total(Sim)(TM4),CarrySide(Sim)(TM4),Totalside(Sim)(TM4),LandingAngle(Sim)(TM4),UseInStat(TM4),Tags(TM4),Condition(TM4),Email(TM4),,SensorName,Date-Time(GRadar),Name(GRadar),Speed(GRadar),Launch(GRadar),Dir(GRadar),BS(GRadar),SS(GRadar),TS(GRadar),SA(GRadar),Carry(GRadar),Total(GRadar),HeadSpeed(GRadar),AA(GRadar),CP(GRadar),SP(GRadar),SD(GRadar),ML1_SP(GRadar),ML1_LA(GRadar),ML1_DA(GRadar),ML1_BS(GRadar),ML1_SS(GRadar),ML1_SR(GRadar),ML1_SA(GRadar),RCT_MEA(GRadar),RCT_MEA_AI(GRadar),,
Wave,20250114_085251, SD_2025.01.14_08.52.51_041, 59.30, 15.50, 0.34, 3507.3, 607.4, 3559.5, 9.8, 190.8, 202.4, 44.0, -0.9, -3.3, 40.9, -5.5, 59.91, 17.21, -1.16, 2672.4, -303.6, 2761.7, -9.3, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085341, SD_2025.01.14_08.53.41_043, 57.95, 12.77, -0.39, 2811.7, 652.9, 2886.5, 13.1, 183.4, 200.9, 44.4, -0.0, -4.3, 41.7, -5.4, 60.70, 21.18, -0.45, 5439.3, 364.1, 5449.0, 4.0, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085420, SD_2025.01.14_08.54.20_044, 59.37, 7.09, -1.21, 2141.3, 823.7, 2294.2, 21.0, 162.4, 187.3, 46.1, -0.4, -5.2, 41.6, -6.8, 59.54, 11.45, -2.01, 2798.0, -306.7, 2874.2, -7.9, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085540, SD_2025.01.14_08.55.40_045, 57.43, 12.79, 3.40, 2926.6, 1032.7, 3103.4, 19.4, 177.7, 195.0, 42.6, -1.3, -2.0, 41.9, -5.2, 57.88, 12.62, -0.30, 3781.6, 582.7, 3911.6, 8.0, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085653, SD_2025.01.14_08.56.53_046, 60.04, 14.33, -1.94, 2780.4, 466.4, 2819.3, 9.5, 197.9, 214.4, 44.2, 1.5, -5.6, 41.0, -4.3, 60.20, 14.91, -3.15, 2584.1, -622.9, 2826.0, -17.1, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085738, SD_2025.01.14_08.57.38_048, 54.88, 12.32, 6.67, 3802.4, 1813.5, 4212.8, 25.5, 157.6, 173.8, 41.0, -3.1, -0.6, 40.9, -6.8, 55.98, 14.78, 2.70, 3725.9, 474.7, 3803.6, 6.4, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085802, SD_2025.01.14_08.58.02_049, 59.19, 6.11, -8.78, 1121.9, -1116.6, 1582.9, -44.9, 117.8, 146.8, 44.0, 2.7, -6.2, 42.9, -2.0, 78.51, 18.66, -0.64, 7105.3, -15.8, 7164.2, 1.8, 0, 1, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085904, SD_2025.01.14_08.59.04_050, 52.86, 11.70, 1.51, 3570.3, 471.1, 3601.2, 7.5, 154.5, 172.7, 39.4, -3.5, -0.5, 40.4, -6.2, 53.45, 15.98, -0.39, 3868.7, -543.9, 4019.6, -10.4, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_085954, SD_2025.01.14_08.59.54_051, 59.47, 11.88, -2.96, 2584.4, 6.4, 2584.4, 0.1, 191.8, 210.7, 44.1, 0.1, -3.9, 40.6, -4.0, 59.73, 11.77, -3.44, 2720.5, -182.7, 2821.6, -6.1, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250114_090036, SD_2025.01.14_09.00.36_052, 58.44, 10.74, -2.48, 2464.0, 491.9, 2512.6, 11.3, 181.6, 202.0, 44.2, -0.6, -6.2, 40.5, -7.9, 30.54, 25.59, -2.03, 2234.0, -5.8, 2238.1, -1.5, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
